timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1575017092655,390,HTTP GET请求,200,OK,线程组 1-1,text,true,,1902,178,1,1,390,0,325
1575017093084,1,Debug Sampler = ok,200,OK,线程组 1-1,text,true,,35459,0,1,1,0,0,0
